disease,drug,true_label,prediction,dataset
ICD10-F84.0,CID-10836,1.0,0.8774078488349915,train
ICD10-B73,CID-5486971,0.0,0.17011624574661255,train
ICD10-C88,CID-637,1.0,0.9954311847686768,train
ICD10-B71.8,CID-5430,1.0,0.9965587258338928,train
ICD10-K22.1,CID-9578005,1.0,0.9542185664176941,train
ICD10-I88.0,CID-165675,0.0,0.013020503334701061,train
ICD10-I79.8,CID-64929,1.0,0.9976766705513,train
ICD10-E03.5,CID-2520,0.0,0.023433154448866844,train
ICD10-I72.5,CID-5587,0.0,0.010806932114064693,train
ICD10-B70.0,CID-193653,0.0,0.09257972240447998,train
ICD10-M17,CID-4107,1.0,0.9774230122566223,train
ICD10-J62.0,CID-65781,1.0,0.9971960783004761,train
ICD10-I12,CID-2162,1.0,0.9811258316040039,train
ICD10-H27.1,CID-187,1.0,0.5934981107711792,train
ICD10-I15,CID-6918251,0.0,0.07734321802854538,train
ICD10-IX,CID-4906,0.0,0.8711531162261963,train
ICD10-G40.4,CID-3180,0.0,0.8184145092964172,train
ICD10-B46,CID-4735,1.0,0.9984227418899536,train
ICD10-I42.2,CID-4649,0.0,0.011713503859937191,train
ICD10-M88.8,CID-5578,0.0,0.00723691750317812,train
ICD10-B53,CID-2118,0.0,0.4431569278240204,train
ICD10-E75.4,CID-5458180,1.0,0.9985289573669434,train
ICD10-M10,CID-72006,0.0,0.018842788413167,train
ICD10-Q82.8,CID-443943,1.0,0.9987838864326477,train
ICD10-I44.7,CID-71657455,0.0,0.17460569739341736,train
ICD10-G20,CID-21917771,0.0,0.10018888115882874,train
ICD10-F34.1,CID-3696,1.0,0.5801711678504944,train
ICD10-E61.6,CID-47517,0.0,0.010062651708722115,train
ICD10-B53.0,CID-4594,0.0,0.03226200491189957,train
ICD10-C86.1,CID-9829523,1.0,0.9803901314735413,train
ICD10-E50.8,CID-1549000,0.0,0.08966963738203049,train
ICD10-I89,CID-2244,1.0,0.9978542923927307,train
ICD10-B36,CID-33630,0.0,0.177139550447464,train
ICD10-G43,CID-2333,0.0,0.019663268700242043,train
ICD10-E51.2,CID-91443,1.0,0.9957466721534729,train
ICD10-R56,CID-2554,1.0,0.9812923669815063,train
ICD10-I82.0,CID-9875401,1.0,0.9897834658622742,train
ICD10-H10.1,CID-4912,0.0,0.40211060643196106,train
ICD10-E50.1,CID-25249,0.0,0.0076299929060041904,train
ICD10-I95.0,CID-2165,0.0,0.0027190980035811663,train
ICD10-M08,CID-151075,1.0,0.9918849468231201,train
ICD10-N34,CID-24872560,0.0,0.8698462843894958,train
ICD10-N41,CID-42613186,1.0,0.9931667447090149,train
ICD10-E85.0,CID-636369,1.0,0.9988436698913574,train
ICD10-E60,CID-25074887,0.0,0.012032419443130493,train
ICD10-G20,CID-28864,1.0,0.6794413328170776,train
ICD10-C92.9,CID-222,0.0,0.2150421440601349,train
ICD10-M21.8,CID-119607,1.0,0.9872041344642639,train
ICD10-I34.0,CID-64929,1.0,0.9940571784973145,train
ICD10-T86.2,CID-3698,1.0,0.9969239830970764,train
ICD10-O03.6,CID-2719,0.0,0.0069772652350366116,train
ICD10-E50.0,CID-5280489,1.0,0.9960376024246216,train
ICD10-M02.2,CID-2576,1.0,0.99770587682724,train
ICD10-E84,CID-636369,1.0,0.9948445558547974,train
ICD10-F41,CID-2717,1.0,0.9949380159378052,train
ICD10-I73.0,CID-57537,0.0,0.015385453589260578,train
ICD10-B18.2,CID-25154714,1.0,0.11742235720157623,train
ICD10-B50.8,CID-3108,0.0,0.015248148702085018,train
ICD10-B39.2,CID-3823,1.0,0.9886988997459412,train
ICD10-I49.8,CID-16124,0.0,0.009357220493257046,train
ICD10-L24.0,CID-137,0.0,0.0546845868229866,train
ICD10-I11,CID-5282430,0.0,0.7312173247337341,train
ICD10-I06.2,CID-9568614,1.0,0.9989553689956665,train
ICD10-L57.4,CID-443943,1.0,0.9991613626480103,train
ICD10-I49.3,CID-23709079,0.0,0.006573662161827087,train
ICD10-C67,CID-41744,1.0,0.15377384424209595,train
ICD10-I89.8,CID-6005,0.0,0.003716095583513379,train
ICD10-E61.0,CID-3038,0.0,0.007968951016664505,train
ICD10-J15,CID-5090,0.0,0.0267279502004385,train
ICD10-F41,CID-3369,1.0,0.9272443652153015,train
ICD10-L92.0,CID-6918554,0.0,0.02652812749147415,train
ICD10-M95.0,CID-4107,1.0,0.9981420040130615,train
ICD10-O06.3,CID-5282415,1.0,0.9977721571922302,train
ICD10-G20,CID-4601,1.0,0.8412215113639832,train
ICD10-A18.6,CID-6234,1.0,0.995954155921936,train
ICD10-I27.2,CID-5282411,1.0,0.9477908611297607,train
ICD10-M70.8,CID-10133,0.0,0.013385743834078312,train
ICD10-I31.9,CID-3741,1.0,0.9941979646682739,train
ICD10-IV,CID-5281104,1.0,0.9148401021957397,train
ICD10-E61.4,CID-3108,0.0,0.0618378184735775,train
ICD10-N92.3,CID-5280585,1.0,0.9874269962310791,train
ICD10-C92.3,CID-126565,1.0,0.9970582723617554,train
ICD10-I15,CID-9821849,0.0,0.3144321143627167,train
ICD10-M10.1,CID-4756,0.0,0.011044511571526527,train
ICD10-F33,CID-5656,1.0,0.9849318265914917,train
ICD10-I80.0,CID-16129703,1.0,0.9929606318473816,train
ICD10-C85.2,CID-157922,0.0,0.018169764429330826,train
ICD10-E51.8,CID-16158208,0.0,0.012806171551346779,train
ICD10-F32.8,CID-4890,0.0,0.260557621717453,train
ICD10-J96.9,CID-670,0.0,0.006883657071739435,train
ICD10-I97.1,CID-4055,0.0,0.003814153606072068,train
ICD10-C92.9,CID-42890,1.0,0.9968085885047913,train
ICD10-F32.8,CID-3372,0.0,0.4267967939376831,train
ICD10-I15,CID-4201,1.0,0.8119598627090454,train
ICD10-M16,CID-119607,1.0,0.933643102645874,train
ICD10-M20.2,CID-151075,1.0,0.9776450395584106,train
ICD10-I28,CID-5291,0.0,0.011733232997357845,train
ICD10-F33,CID-2160,1.0,0.9903691411018372,train
ICD10-N90.4,CID-443943,1.0,0.9989627599716187,train
ICD10-M81.4,CID-5359,0.0,0.01244298368692398,train
ICD10-M23.2,CID-1548942,1.0,0.9994081258773804,train
ICD10-E51.2,CID-1110,1.0,0.9888203740119934,train
ICD10-G31.8,CID-71360,0.0,0.012591836042702198,train
ICD10-F32,CID-5336,0.0,0.1611824333667755,train
ICD10-M96.3,CID-2576,1.0,0.9991248250007629,train
ICD10-I50.1,CID-34359,0.0,0.009476385079324245,train
ICD10-C85.7,CID-637,1.0,0.9934051632881165,train
ICD10-I50.1,CID-164522,0.0,0.006914065685123205,train
ICD10-I39.4,CID-2244,1.0,0.9558964371681213,train
ICD10-F41.0,CID-6234,0.0,0.016255127266049385,train
ICD10-K91.5,CID-5282430,1.0,0.9713307023048401,train
ICD10-I89.1,CID-16004692,1.0,0.9982189536094666,train
ICD10-F33.1,CID-56330,0.0,0.011122479103505611,train
ICD10-M22.8,CID-3084049,1.0,0.9927610158920288,train
ICD10-I10,CID-5280723,0.0,0.929643452167511,train
ICD10-E85,CID-6726,0.0,0.0069024390541017056,train
ICD10-I12,CID-5311447,1.0,0.8898845314979553,train
ICD10-C93.1,CID-667484,0.0,0.021473530679941177,train
ICD10-H10.1,CID-3827,1.0,0.9371411204338074,train
ICD10-E61.0,CID-5461108,1.0,0.9795556664466858,train
ICD10-C83.7,CID-42890,1.0,0.9980695843696594,train
ICD10-M10.2,CID-156391,1.0,0.9884034991264343,train
ICD10-I50,CID-6883,1.0,0.8774630427360535,train
ICD10-E74.3,CID-636369,1.0,0.9987131357192993,train
ICD10-L98.5,CID-443943,1.0,0.9991989731788635,train
ICD10-I77.6,CID-3739,0.0,0.005536298733204603,train
ICD10-M21.2,CID-6439929,1.0,0.9910481572151184,train
ICD10-I95.8,CID-24014,0.0,0.11967387050390244,train
ICD10-H40.4,CID-6979053,1.0,0.8175175189971924,train
ICD10-C83.0,CID-5360515,0.0,0.07478533685207367,train
ICD10-K86.0,CID-444020,0.0,0.025641676038503647,train
ICD10-R56.8,CID-3354,0.0,0.02011759951710701,train
ICD10-I33.0,CID-5717,0.0,0.005481340456753969,train
ICD10-N34.1,CID-23725625,0.0,0.0064375814981758595,train
ICD10-E85.2,CID-16218860,0.0,0.01173266302794218,train
ICD10-T88.6,CID-656400,1.0,0.7244071364402771,train
ICD10-B54,CID-6178111,1.0,0.9906731247901917,train
ICD10-XI,CID-9444,0.0,0.0072291758842766285,train
ICD10-F33,CID-2726,0.0,0.024544665589928627,train
ICD10-I47.1,CID-443873,1.0,0.9987975358963013,train
ICD10-C91.0,CID-2723601,1.0,0.9987767338752747,train
ICD10-F32.2,CID-53316721,1.0,0.9945811629295349,train
ICD10-E78.0,CID-636369,1.0,0.9985988736152649,train
ICD10-H40.4,CID-39468,1.0,0.9875165224075317,train
ICD10-F33.2,CID-2160,1.0,0.9821920990943909,train
ICD10-I86.2,CID-5283731,0.0,0.004744607489556074,train
ICD10-C91.5,CID-637,1.0,0.9826871752738953,train
ICD10-F33,CID-5324346,1.0,0.9974736571311951,train
ICD10-M12.3,CID-60857,0.0,0.006105230655521154,train
ICD10-B36.0,CID-6989,1.0,0.9890449047088623,train
ICD10-E76.2,CID-444008,1.0,0.9986742734909058,train
ICD10-C56,CID-3202,0.0,0.029766272753477097,train
ICD10-G41.2,CID-5284371,0.0,0.018296081572771072,train
ICD10-E24,CID-42890,0.0,0.01853993907570839,train
ICD10-I72.5,CID-5362116,1.0,0.9988154172897339,train
ICD10-F32.0,CID-56972160,0.0,0.012812478467822075,train
ICD10-F33.0,CID-3759,1.0,0.9122641086578369,train
ICD10-B74.1,CID-2391,0.0,0.012612353079020977,train
ICD10-C88.7,CID-9931954,0.0,0.03389470651745796,train
ICD10-M24,CID-71360,0.0,0.006059663835912943,train
ICD10-C83.0,CID-176077,0.0,0.23412126302719116,train
ICD10-C84.0,CID-439299,1.0,0.9984573125839233,train
ICD10-I48.2,CID-222786,0.0,0.004281018860638142,train
ICD10-M51.4,CID-2576,1.0,0.999204695224762,train
ICD10-N30.8,CID-5578,1.0,0.969138503074646,train
ICD10-B48.8,CID-24462,1.0,0.996775209903717,train
ICD10-E50.0,CID-135402045,1.0,0.9991636276245117,train
ICD10-I24.1,CID-5362116,1.0,0.9971291422843933,train
ICD10-O00.0,CID-681,0.0,0.015543120913207531,train
ICD10-B36.3,CID-2812,1.0,0.9945635199546814,train
ICD10-I83.1,CID-16137271,0.0,0.022058144211769104,train
ICD10-G40.4,CID-3947,0.0,0.025261232629418373,train
ICD10-C71,CID-3950,1.0,0.9975676536560059,train
ICD10-G56,CID-16139605,0.0,0.005444222129881382,train
ICD10-J12.8,CID-5282219,1.0,0.9817750453948975,train
ICD10-J44.8,CID-5282219,1.0,0.9774990081787109,train
ICD10-F32.8,CID-3386,1.0,0.8646801710128784,train
ICD10-H40.4,CID-5936,1.0,0.7553843259811401,train
ICD10-L57.1,CID-443943,1.0,0.9983618855476379,train
ICD10-E05,CID-11672461,0.0,0.007624513935297728,train
ICD10-I50,CID-1549120,0.0,0.015924187377095222,train
ICD10-G43,CID-44630173,0.0,0.012362126260995865,train
ICD10-J09,CID-439299,0.0,0.07932868599891663,train
ICD10-I07.1,CID-9560989,0.0,0.0042208777740597725,train
ICD10-I35.0,CID-64929,1.0,0.99610835313797,train
