disease,map
ICD10-T63.9,203574
ICD10-R62.52,203575
ICD10-A54.6,203576
ICD10-Q21.0,203577
ICD10-E61.1,203578
ICD10-E29,203579
ICD10-N49,203580
ICD10-D69.5,203581
ICD10-A83.1,203582
ICD10-M67.4,203583
ICD10-S06.0,203584
ICD10-G04.2,203585
ICD10-B74.1,203586
ICD10-S83.1,203587
ICD10-K31.4,203588
ICD10-R33,203589
ICD10-D18,203590
ICD10-K40,203591
ICD10-M63.80,203592
ICD10-L60.9,203593
ICD10-A08,203594
ICD10-G83.2,203595
ICD10-D81.6,203596
ICD10-Q85.02,203597
ICD10-Q25.79,203598
ICD10-D10-D36,203599
ICD10-L74.4,203600
ICD10-E80.0,203601
ICD10-M68,203602
ICD10-F45,203603
ICD10-S52.7,203604
ICD10-H02.409,203605
ICD10-T10,203606
ICD10-S06,203607
ICD10-G20,203608
ICD10-R45.0,203609
ICD10-S84.7,203610
ICD10-M15,203611
ICD10-C02.4,203612
ICD10-G00.8,203613
ICD10-M54.3,203614
ICD10-N34,203615
ICD10-Q70.3,203616
ICD10-C00-C14,203617
ICD10-G71.13,203618
ICD10-O43,203619
ICD10-E59,203620
ICD10-L57,203621
ICD10-K62.5,203622
ICD10-B68.1,203623
ICD10-K86.9,203624
ICD10-S55.1,203625
ICD10-H35.1,203626
ICD10-G21.4,203627
ICD10-A98.4,203628
ICD10-C84.1,203629
ICD10-R94.01,203630
ICD10-G11.9,203631
ICD10-B65.9,203632
ICD10-E34.9,203633
ICD10-N06.8,203634
ICD10-D27,203635
ICD10-R29.2,203636
ICD10-M36.2,203637
ICD10-S34.4,203638
ICD10-R62.0,203639
ICD10-Q41.1,203640
ICD10-R25.2,203641
ICD10-S98.0,203642
ICD10-H11.4,203643
ICD10-J34,203644
ICD10-S61.7,203645
ICD10-I44.1,203646
ICD10-X,203647
ICD10-O45.9,203648
ICD10-R25.9,203649
ICD10-S44.5,203650
ICD10-C04.0,203651
ICD10-S39.7,203652
ICD10-H93.A,203653
ICD10-K85.1,203654
ICD10-S31,203655
ICD10-R06.9,203656
ICD10-M12.4,203657
ICD10-C78.8,203658
ICD10-N13.3,203659
ICD10-I82.40,203660
ICD10-C74.0,203661
ICD10-D59.3,203662
ICD10-D18.00,203663
ICD10-O07.2,203664
ICD10-S30.1,203665
ICD10-N28.82,203666
ICD10-Q05,203667
ICD10-K06.8,203668
ICD10-H55.0,203669
ICD10-Q25.21,203670
ICD10-I47.1,203671
ICD10-T30,203672
ICD10-K36,203673
ICD10-A77.3,203674
ICD10-Q04.8,203675
ICD10-Q61.19,203676
ICD10-D58,203677
ICD10-D16.7,203678
ICD10-Q43.7,203679
ICD10-M60.009,203680
ICD10-Z08,203681
ICD10-E14.1,203682
ICD10-F02.8,203683
ICD10-L98.6,203684
ICD10-R06.4,203685
ICD10-S85.1,203686
ICD10-Q20.1,203687
ICD10-K04.6,203688
ICD10-J36,203689
ICD10-I80.3,203690
ICD10-Z02.2,203691
ICD10-B66.3,203692
ICD10-N19,203693
ICD10-B65.2,203694
ICD10-K72.1,203695
ICD10-Q25.47,203696
ICD10-P39.4,203697
ICD10-N32.0,203698
ICD10-T21,203699
ICD10-F95.2,203700
ICD10-K81.8,203701
ICD10-J15.5,203702
ICD10-I86.3,203703
ICD10-B57.2,203704
ICD10-N72,203705
ICD10-G43.D,203706
ICD10-G70.0,203707
ICD10-H57.03,203708
ICD10-F52.9,203709
ICD10-Q70,203710
ICD10-N87.0,203711
ICD10-H02.6,203712
ICD10-G57.00,203713
ICD10-K35.3,203714
ICD10-S14.0,203715
ICD10-Z91.7,203716
ICD10-J06.0,203717
ICD10-D32.9,203718
ICD10-F80.8,203719
ICD10-F84.9,203720
ICD10-J80,203721
ICD10-E11.3599,203722
ICD10-A36,203723
ICD10-F91.9,203724
ICD10-S05.1,203725
ICD10-B97.11,203726
ICD10-S84.1,203727
ICD10-L51.8,203728
ICD10-S74.1,203729
ICD10-M33.90,203730
ICD10-J38.2,203731
ICD10-C92.90,203732
ICD10-T78.2,203733
ICD10-R25.1,203734
ICD10-C57.8,203735
ICD10-L63.9,203736
ICD10-G43.8,203737
ICD10-K31,203738
ICD10-F70-F79,203739
ICD10-D36.9,203740
ICD10-N99.2,203741
ICD10-H52.20,203742
ICD10-B66.2,203743
ICD10-T86.0,203744
ICD10-I25,203745
ICD10-H53.12,203746
ICD10-F62.0,203747
ICD10-L70.1,203748
ICD10-E28,203749
ICD10-C73-C75,203750
ICD10-S65.3,203751
ICD10-Q76.49,203752
ICD10-M08,203753
ICD10-L23.3,203754
ICD10-K52.831,203755
ICD10-H18.5,203756
ICD10-R46,203757
ICD10-S01.8,203758
ICD10-J04.0,203759
ICD10-Q77.8,203760
ICD10-Q87.81,203761
ICD10-S25.5,203762
ICD10-T14.3,203763
ICD10-K04,203764
ICD10-C71.9,203765
ICD10-D61.09,203766
ICD10-Q74.1,203767
ICD10-K11.5,203768
ICD10-Q17.9,203769
ICD10-C69.1,203770
ICD10-B67,203771
ICD10-G41.1,203772
ICD10-Q71.2,203773
ICD10-F63.9,203774
ICD10-S82.6,203775
ICD10-J84.81,203776
ICD10-D01.7,203777
ICD10-G41.0,203778
ICD10-B41.8,203779
ICD10-M21.54,203780
ICD10-M79.8,203781
ICD10-G31.85,203782
ICD10-C91,203783
ICD10-D69.6,203784
ICD10-F00.1,203785
ICD10-S36.1,203786
ICD10-H16.4,203787
ICD10-D62,203788
ICD10-I67.5,203789
ICD10-F03,203790
ICD10-N23,203791
ICD10-N39.0,203792
ICD10-B36.0,203793
ICD10-L83,203794
ICD10-N18.1,203795
ICD10-S53.3,203796
ICD10-Q77.4,203797
ICD10-L60.1,203798
ICD10-L23.2,203799
ICD10-E84.8,203800
ICD10-I07.2,203801
ICD10-E79,203802
ICD10-H35.6,203803
ICD10-E77,203804
ICD10-M67,203805
ICD10-C88.7,203806
ICD10-M96.5,203807
ICD10-D49,203808
ICD10-Z10.1,203809
ICD10-H81.90,203810
ICD10-C17.8,203811
ICD10-I39.3,203812
ICD10-N83.8,203813
ICD10-S40,203814
ICD10-O03,203815
ICD10-F52.4,203816
ICD10-K38,203817
ICD10-M21.02,203818
ICD10-S12.0,203819
ICD10-N11.8,203820
ICD10-D68.51,203821
ICD10-M41,203822
ICD10-S23,203823
ICD10-J18.1,203824
ICD10-S88,203825
ICD10-D22.9,203826
ICD10-H35.9,203827
ICD10-N82,203828
ICD10-L81.3,203829
ICD10-A42.2,203830
ICD10-I71.00,203831
ICD10-H53.40,203832
ICD10-I33.0,203833
ICD10-O14.9,203834
ICD10-C78.6,203835
ICD10-N64.2,203836
ICD10-S54.3,203837
ICD10-E70.29,203838
ICD10-Z51.3,203839
ICD10-M79.4,203840
ICD10-F84.1,203841
ICD10-Q22.5,203842
ICD10-Q30-Q34,203843
ICD10-M11.8,203844
ICD10-Q05.9,203845
ICD10-M42.00,203846
ICD10-L30.2,203847
ICD10-R06.7,203848
ICD10-H06.2,203849
ICD10-Z11,203850
ICD10-J18.9,203851
ICD10-D12.6,203852
ICD10-D72.823,203853
ICD10-N64.9,203854
ICD10-A94,203855
ICD10-C92,203856
ICD10-O07.5,203857
ICD10-A60.0,203858
ICD10-N42.0,203859
ICD10-S02.6,203860
ICD10-D72.9,203861
ICD10-R10.9,203862
ICD10-M24.4,203863
ICD10-G73.1,203864
ICD10-S44.2,203865
ICD10-H35,203866
ICD10-A58,203867
ICD10-R82.4,203868
ICD10-S63.0,203869
ICD10-G91,203870
ICD10-R40.1,203871
ICD10-A24.9,203872
ICD10-Q89.9,203873
ICD10-A54.4,203874
ICD10-D60.1,203875
ICD10-E71.522,203876
ICD10-Z02.1,203877
ICD10-Q42.3,203878
ICD10-J67.7,203879
ICD10-N32,203880
ICD10-G91.1,203881
ICD10-E71.120,203882
ICD10-I39.4,203883
ICD10-K29.2,203884
ICD10-T56.0X,203885
ICD10-B53.0,203886
ICD10-L99.0,203887
ICD10-R23.4,203888
ICD10-H30.9,203889
ICD10-M72.4,203890
ICD10-C94.3,203891
ICD10-G95.20,203892
ICD10-I70.0,203893
ICD10-D06,203894
ICD10-S55.2,203895
ICD10-H16.00,203896
ICD10-S83.0,203897
ICD10-I85,203898
ICD10-C82.6,203899
ICD10-J62.0,203900
ICD10-H11.0,203901
ICD10-A92.30,203902
ICD10-N75,203903
ICD10-I35.9,203904
ICD10-S98.1,203905
ICD10-K05.4,203906
ICD10-I50.9,203907
ICD10-N13.2,203908
ICD10-G52.7,203909
ICD10-S46.0,203910
ICD10-S68.2,203911
ICD10-S34.1,203912
ICD10-R16.2,203913
ICD10-R94.111,203914
ICD10-N80.6,203915
ICD10-A49.01,203916
ICD10-H18.60,203917
ICD10-D18.01,203918
ICD10-R61.9,203919
ICD10-A50.6,203920
ICD10-C79.1,203921
ICD10-L30.4,203922
ICD10-F32.8,203923
ICD10-L30.5,203924
ICD10-D36.10,203925
ICD10-G94,203926
ICD10-C69.6,203927
ICD10-C79.0,203928
ICD10-S37.8,203929
ICD10-B96.81,203930
ICD10-G95.9,203931
ICD10-S08.1,203932
ICD10-N90,203933
ICD10-D35.9,203934
ICD10-A81.09,203935
ICD10-F63.81,203936
ICD10-Z00.1,203937
ICD10-F00.0,203938
ICD10-H02.59,203939
ICD10-Q63.0,203940
ICD10-Q72.70,203941
ICD10-N96,203942
ICD10-Q43.1,203943
ICD10-G47.20,203944
ICD10-Q44.4,203945
ICD10-K14.3,203946
ICD10-Q06.2,203947
ICD10-S46.8,203948
ICD10-I47,203949
ICD10-Q07.9,203950
ICD10-M62.40,203951
ICD10-Q20.9,203952
ICD10-M85.00,203953
ICD10-R06.0,203954
ICD10-C77.4,203955
ICD10-N10-N16,203956
ICD10-A15,203957
ICD10-H21.00,203958
ICD10-B07,203959
ICD10-G25.1,203960
ICD10-M65.4,203961
ICD10-S02.0,203962
ICD10-E03.9,203963
ICD10-R10.2,203964
ICD10-H40.20,203965
ICD10-G81.0,203966
ICD10-I05,203967
ICD10-N95,203968
ICD10-H44.1,203969
ICD10-L05.91,203970
ICD10-D68.1,203971
ICD10-C19,203972
ICD10-K80.5,203973
ICD10-M77.4,203974
ICD10-K80.4,203975
ICD10-R57.1,203976
ICD10-L91.8,203977
ICD10-E03.1,203978
ICD10-J00-J06,203979
ICD10-F25.0,203980
ICD10-M83.3,203981
ICD10-S07.0,203982
ICD10-Q44,203983
ICD10-L89.2,203984
ICD10-J92,203985
ICD10-S54.1,203986
ICD10-A49.0,203987
ICD10-S52.4,203988
ICD10-J93,203989
ICD10-E74.4,203990
ICD10-P12.3,203991
ICD10-K57.9,203992
ICD10-B25.9,203993
ICD10-M61.10,203994
ICD10-B51.0,203995
ICD10-S71,203996
ICD10-E75.21,203997
ICD10-K11.0,203998
ICD10-D55.1,203999
ICD10-K55.0,204000
ICD10-F72,204001
ICD10-M62.83,204002
ICD10-Q64.19,204003
ICD10-S95.8,204004
ICD10-K04.3,204005
ICD10-S26.0,204006
ICD10-D48.5,204007
ICD10-L81.7,204008
ICD10-M23,204009
ICD10-C04.9,204010
ICD10-J98.1,204011
ICD10-J34.3,204012
ICD10-L30.9,204013
ICD10-C90.3,204014
ICD10-B21.0,204015
ICD10-G47.8,204016
ICD10-J81,204017
ICD10-N85.5,204018
ICD10-L67.1,204019
ICD10-F45.8,204020
ICD10-D05,204021
ICD10-Q86.0,204022
ICD10-S86.0,204023
ICD10-Q56.4,204024
ICD10-Q71,204025
ICD10-Q81.8,204026
ICD10-G90.8,204027
ICD10-L98.1,204028
ICD10-K76.6,204029
ICD10-N36.0,204030
ICD10-N81.4,204031
ICD10-Q89.3,204032
ICD10-M42.1,204033
ICD10-N30,204034
ICD10-K38.0,204035
ICD10-G71.12,204036
ICD10-Z04.1,204037
ICD10-M14.2,204038
ICD10-N43,204039
ICD10-H18.9,204040
ICD10-S56.4,204041
ICD10-P10.4,204042
ICD10-J03,204043
ICD10-Z12.8,204044
ICD10-S13.4,204045
ICD10-F60.9,204046
ICD10-S13.0,204047
ICD10-S20.8,204048
ICD10-Z12.3,204049
ICD10-S06.3,204050
ICD10-F60.6,204051
ICD10-N85.6,204052
ICD10-E50.5,204053
ICD10-J60,204054
ICD10-O14,204055
ICD10-I20,204056
ICD10-A54.0,204057
ICD10-I25.10,204058
ICD10-S14.4,204059
ICD10-I67,204060
ICD10-L89.3,204061
ICD10-S33.0,204062
ICD10-J63.2,204063
ICD10-B81.8,204064
ICD10-Q21.3,204065
ICD10-E71.50,204066
ICD10-D37.6,204067
ICD10-R47.81,204068
ICD10-Q17.4,204069
ICD10-C80,204070
ICD10-O00.9,204071
ICD10-E27.40,204072
ICD10-K62.7,204073
ICD10-Q76.6,204074
ICD10-S32.4,204075
ICD10-B79,204076
ICD10-G52.3,204077
ICD10-M65.8,204078
ICD10-M91.3,204079
ICD10-R29,204080
ICD10-E31.2,204081
ICD10-H60.2,204082
ICD10-J33,204083
ICD10-E73.9,204084
ICD10-Q93.4,204085
ICD10-K00.6,204086
ICD10-C69.20,204087
ICD10-O43.9,204088
ICD10-L82.1,204089
ICD10-G31.81,204090
ICD10-K35.2,204091
ICD10-C00,204092
ICD10-L20.9,204093
ICD10-C97-C97,204094
ICD10-Q78.5,204095
ICD10-E70.32,204096
ICD10-H11,204097
ICD10-G50.0,204098
ICD10-L67.8,204099
ICD10-S43.2,204100
ICD10-D30.3,204101
ICD10-R00.1,204102
ICD10-E88.9,204103
ICD10-H04.9,204104
ICD10-L66.3,204105
ICD10-I42,204106
ICD10-G02.1,204107
ICD10-K42.9,204108
ICD10-Q20.0,204109
ICD10-Q71.6,204110
ICD10-M75,204111
ICD10-N60-N64,204112
ICD10-J61,204113
ICD10-D13.2,204114
ICD10-Q03,204115
ICD10-Q03.1,204116
ICD10-L21.1,204117
ICD10-K06.1,204118
ICD10-I42.7,204119
ICD10-R02,204120
ICD10-Q01.9,204121
ICD10-H47.319,204122
ICD10-N28.1,204123
ICD10-M06.9,204124
ICD10-D30.9,204125
ICD10-S60.7,204126
ICD10-Q70.2,204127
ICD10-C17.0,204128
ICD10-Q31.8,204129
ICD10-N49.2,204130
ICD10-S93.1,204131
ICD10-R09.1,204132
ICD10-N16,204133
ICD10-Q81,204134
ICD10-G56.3,204135
ICD10-K00.1,204136
ICD10-N88,204137
ICD10-G47.41,204138
ICD10-F40.2,204139
ICD10-E87.3,204140
ICD10-K08.2,204141
ICD10-O01.1,204142
ICD10-H01.0,204143
ICD10-E60,204144
ICD10-J30.1,204145
ICD10-Q93.5,204146
ICD10-S45.2,204147
ICD10-S00.3,204148
ICD10-I50.1,204149
ICD10-C18.0,204150
ICD10-R40.2,204151
ICD10-S55.7,204152
ICD10-S30.8,204153
ICD10-R19.4,204154
ICD10-G80.8,204155
ICD10-E51.2,204156
ICD10-H35.32,204157
ICD10-E05.4,204158
ICD10-XI,204159
ICD10-L50.8,204160
ICD10-C92.60,204161
ICD10-R06.82,204162
ICD10-P13.0,204163
ICD10-J02,204164
ICD10-M48.5,204165
ICD10-I77,204166
ICD10-D60.8,204167
ICD10-I34.0,204168
ICD10-H52.7,204169
ICD10-E07.0,204170
ICD10-I77.2,204171
ICD10-E75.11,204172
ICD10-Q75.3,204173
ICD10-L92.3,204174
ICD10-Q04.2,204175
ICD10-Q84.2,204176
ICD10-S32.5,204177
ICD10-C22.1,204178
ICD10-Q05.8,204179
ICD10-Q24.0,204180
ICD10-K38.1,204181
ICD10-C69.3,204182
ICD10-R10.3,204183
ICD10-F12,204184
ICD10-E00.1,204185
ICD10-C11,204186
ICD10-E50.2,204187
ICD10-M51.4,204188
ICD10-M75.4,204189
ICD10-F10.4,204190
ICD10-H93.8,204191
ICD10-I77.4,204192
ICD10-S94.0,204193
ICD10-M11,204194
ICD10-D80.5,204195
ICD10-C81.2,204196
ICD10-P50.4,204197
ICD10-K07.9,204198
ICD10-J68.1,204199
ICD10-E31.20,204200
ICD10-E71.0,204201
ICD10-M32.9,204202
ICD10-J70.3,204203
ICD10-K43,204204
ICD10-C96.8,204205
ICD10-G03.8,204206
ICD10-R62.56,204207
ICD10-L43,204208
ICD10-R21,204209
ICD10-C64-C68,204210
ICD10-H35.059,204211
ICD10-E70.0,204212
ICD10-S62.5,204213
ICD10-H18.52,204214
ICD10-F95.9,204215
ICD10-F10.7,204216
ICD10-C79.3,204217
ICD10-H80.9,204218
ICD10-L41.9,204219
ICD10-J05.1,204220
ICD10-K90.9,204221
ICD10-K13.7,204222
ICD10-B68,204223
ICD10-I49.5,204224
ICD10-P13,204225
ICD10-B36,204226
ICD10-H31.2,204227
ICD10-S03.4,204228
ICD10-I37.2,204229
ICD10-C44.8,204230
ICD10-N89.7,204231
ICD10-F12.2,204232
ICD10-B05.9,204233
ICD10-H31.10,204234
ICD10-G51.8,204235
ICD10-G47.30,204236
ICD10-M21.8,204237
ICD10-I37.1,204238
ICD10-Q18.2,204239
ICD10-H90.5,204240
ICD10-N21.8,204241
ICD10-K57.5,204242
ICD10-S82.0,204243
ICD10-F15,204244
ICD10-C02.8,204245
ICD10-K31.2,204246
ICD10-M41.9,204247
ICD10-I35.0,204248
ICD10-G91.2,204249
ICD10-L30.1,204250
ICD10-S52.2,204251
ICD10-A39.1,204252
ICD10-F31.5,204253
ICD10-A51.0,204254
ICD10-P51,204255
ICD10-H31.4,204256
ICD10-L51.9,204257
ICD10-O36.8190,204258
ICD10-I73.89,204259
ICD10-G63.1,204260
ICD10-F63.8,204261
ICD10-G50,204262
ICD10-A90,204263
ICD10-S39.0,204264
ICD10-G56.8,204265
ICD10-Q37.9,204266
ICD10-M89.5,204267
ICD10-L94.0,204268
ICD10-G31.84,204269
ICD10-I25.4,204270
ICD10-S84.0,204271
ICD10-M50.2,204272
ICD10-L72.8,204273
ICD10-K04.5,204274
ICD10-N80.2,204275
ICD10-S66.1,204276
ICD10-E71.311,204277
ICD10-N89,204278
ICD10-C91.50,204279
ICD10-N86,204280
ICD10-D41,204281
ICD10-B66.1,204282
ICD10-E07.9,204283
ICD10-R65.21,204284
ICD10-I72.2,204285
ICD10-K59.09,204286
ICD10-C81.0,204287
ICD10-G93.9,204288
ICD10-M83.0,204289
ICD10-L29.0,204290
ICD10-N34.0,204291
ICD10-D84.8,204292
ICD10-K14.8,204293
ICD10-E53.8,204294
ICD10-K66.0,204295
ICD10-I97.8,204296
ICD10-L55,204297
ICD10-C83.1,204298
ICD10-D57.1,204299
ICD10-S70.1,204300
ICD10-L85.9,204301
ICD10-G30,204302
ICD10-E88.0,204303
ICD10-L24.5,204304
ICD10-T09.8,204305
ICD10-S64.0,204306
ICD10-J85.2,204307
ICD10-B81.3,204308
ICD10-Q00-Q07,204309
ICD10-C86.4,204310
ICD10-P58.4,204311
ICD10-K00.2,204312
ICD10-S42.7,204313
ICD10-N98,204314
ICD10-G47.9,204315
ICD10-N73.5,204316
ICD10-Z02.3,204317
ICD10-E04.0,204318
ICD10-E74.0,204319
ICD10-R31,204320
ICD10-K56.2,204321
ICD10-B69,204322
ICD10-M90.0,204323
ICD10-E89.4,204324
ICD10-A01.00,204325
ICD10-J81.1,204326
ICD10-C92.50,204327
ICD10-I25.0,204328
ICD10-J98,204329
ICD10-C45.0,204330
ICD10-Q61.9,204331
ICD10-K83.4,204332
ICD10-P12.8,204333
ICD10-C26,204334
ICD10-S95.7,204335
ICD10-Q74.9,204336
ICD10-R63.2,204337
